"Keyword"	"Competition"	"Global"	"Local"
"korean food truck nyc"	0.12	260	260
"swans food truck"	0.33	260	260
"food trucks for sale in chicago"	0.97	260	260
"food trucks for sale chicago"	0.97	260	260
"mobile restaurant truck"	0.82	320	210
"food truck layout"	0.35	260	210
"bakery food truck"	0.3	260	210
"food truck dimensions"	0.24	260	210
"operating a food truck"	0.19	260	210
"build your own food truck"	0.67	260	210
"comfort food truck"	0.06	260	210
"grill em all food truck"	0.04	260	210
"sauca food truck"	0.06	260	210
"food service truck for sale"	1	260	210
"food truck challenge food network"	0.05	260	210
"food network food truck challenge"	0.05	260	210
"food truck profits"	0.08	260	210
"commercial food trucks"	0.98	260	210
"airstream food truck"	0.36	260	210
"gourmet food trucks for sale"	0.92	260	210
"dc food truck map"	0.03	260	210
"red hook food trucks"	0.09	260	210
"food truck conversion"	0.51	210	210
"food truck license nyc"	0.29	210	210
"nyc food truck license"	0.29	210	210
"used mobile food trucks for sale"	0.92	210	210
"food truck festival san francisco"	0.06	210	210
"kosher food truck"	0.26	210	210
"savory food truck"	0.05	210	210
"gourmet food trucks orange county"	0.53	210	210
"mogo food truck"	0.03	210	210
"food trucks for sale in virginia"	0.94	210	210
"randy s food truck"	0.17	210	210
"clover food truck boston"	0.02	210	210
"food trucks for sale san diego"	0.94	210	210
"food trucks durham nc"	0.17	210	210
"miho food truck"	0.06	210	210
"swan food truck"	0.32	210	210
"swan truck food"	0.32	210	210
"food trucks for sale in pa"	0.88	210	210
"bada bing food truck"	0.02	320	170
"food truck tv show"	0.14	260	170
"food truck supplies"	0.87	210	170
"step van food truck"	0.68	210	170
"the great food truck race wiki"	0.01	210	170
"great food truck race wiki"	0.01	210	170
"food truck dealers"	0.86	210	170
"are food trucks profitable"	0.1	210	170
"best food trucks in america"	0.24	210	170
"food trucks for sale ebay"	0.82	210	170
"taiwanese food truck"	0.07	210	170
"sprinter food truck"	0.72	210	170
"food truck floor plan"	0.43	210	170
"food truck for sale san diego"	0.96	210	170
"dos chinos food truck"	0.08	210	170
"buttermilk food truck"	0.04	210	170
"food trucks for sale seattle"	0.89	170	170
"food truck business plan template"	0.78	170	170
"food truck for sale nyc"	0.88	170	170
"used food trucks for sale california"	0.89	170	170
"banh mi food truck"	0.05	170	170
